,supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
56930,8.24775286311305e+16,720575940622684374,172904.0,86024.0,2893.0,172904.0,86024.0,2893.0,7477630.0,intrinsic,optic,ME,columnar,,Mi4,,,,gaba,0.883832353667276,"gaba, nitric oxide","Davis et al., 2020 (TAPIN)",right,,fw056840,,,isomorphic,,,
57837,8.254734755278e+16,720575940637376368,173576.0,77472.0,2417.0,173576.0,77472.0,2417.0,7461564.0,intrinsic,optic,ME>LO,,,Tm5f,,,,acetylcholine,0.864420736554975,,,right,,fw057748,,,isomorphic,,,
59284,8.31100912806194e+16,720575940614527594,181272.0,75328.0,1993.0,181272.0,75328.0,1993.0,7698009.0,intrinsic,optic,ME>LO,,,Tm9,,,,acetylcholine,0.726208832947906,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw059195,,,isomorphic,,,
59881,8.2829097407082e+16,720575940635974263,177576.0,82312.0,2207.0,177576.0,82312.0,2207.0,7480102.0,intrinsic,optic,ME>LO,,,Tm5c,,,,glutamate,0.580530514290621,,,right,,fw059792,,,isomorphic,,,
60015,7.61415244250051e+16,720575940618248153,80264.0,44056.0,4703.0,80264.0,44056.0,4703.0,1499205.0,intrinsic,optic,ME,,,Pm03,,,,gaba,0.622638197833544,gaba,"Nern et al., 2024 (EASI-FISH)",left,,fw059926,,,isomorphic,,,
60016,7.76214670091303e+16,720575940622971141,101656.0,76992.0,4374.0,101656.0,76992.0,4374.0,2697766.0,intrinsic,optic,LO,,,Li11,,,,gaba,0.776025081085427,,,left,,fw059927,,,isomorphic,,,
61584,8.30380734703783e+16,720575940612793457,181072.0,50264.0,3473.0,181072.0,50264.0,3473.0,7671155.0,intrinsic,optic,ME,,,Pm08,,,,gaba,0.781606421035498,gaba,"Nern et al., 2024 (EASI-FISH)",right,,fw061497,,,isomorphic,,,
62252,8.33898483375113e+16,720575940614312379,185312.0,48776.0,2560.0,185312.0,48776.0,2560.0,7655001.0,intrinsic,optic,ME,,,Mi4,,,,gaba,0.847663221606397,"glutamate, gaba; glutamate","Davis et al., 2020 (TAPIN); Takemura et al., 2017 (immuno)",right,,fw062165,,,isomorphic,,,
62337,8.49385106662477e+16,720575940638926938,208138.0,57336.0,3691.0,220664.0,55072.0,4112.0,8748146.0,intrinsic,optic,LA>ME,L1-5,,L3,,,,acetylcholine,0.816138431839378,acetylcholine,"Davis et al., 2020 (TAPIN)",right,,fw062252,FBbt_00003720,,isomorphic,,,
62747,7.44548737897764e+16,720575940613331966,55328.0,76896.0,6582.0,55328.0,76896.0,6582.0,960275.0,intrinsic,optic,ME>LO,,,Tm21,,,,acetylcholine,0.855426284268139,,,left,,fw062664,,,isomorphic,,,
